date,value
2020-03-20,103.93
2020-03-23,105.18
2020-03-24,113.839996
2020-03-25,112.5
2020-03-26,120.260002
2020-03-27,120.459999
2020-03-30,125.480003
2020-03-31,120.099998
2020-04-01,118.120003
2020-04-02,123.860001
2020-04-03,124.589996
2020-04-06,131.160004
2020-04-07,130.479996
2020-04-08,132.610001
2020-04-09,133.630005
2020-04-13,130.889999
2020-04-14,138.399994
2020-04-15,135.029999
2020-04-16,135.639999
2020-04-17,137.550003
2020-04-20,134.550003
2020-04-21,130.940002
2020-04-22,132.619995
2020-04-23,130.259995
2020-04-24,134.360001
2020-04-27,134.460007
2020-04-28,136.320007
2020-04-29,133.360001
2020-04-30,132.289993
2020-05-01,130.139999
2020-05-04,130.919998
2020-05-05,131.669998
2020-05-06,130.779999
2020-05-07,131.550003
2020-05-08,134.229996
2020-05-11,134.380005
2020-05-12,132.940002
2020-05-13,132.960007
2020-05-14,133.080002
2020-05-15,135.949997
2020-05-18,135.520004
2020-05-19,131.729996
2020-05-20,131.259995
2020-05-21,130.210007
2020-05-22,130.479996
2020-05-26,129.75
2020-05-27,130.809998
2020-05-28,132.289993
2020-05-29,131.550003
2020-06-01,132.990005
2020-06-02,132.630005
2020-06-03,132.820007
2020-06-04,130.570007
2020-06-05,132.440002
2020-06-08,132.210007
2020-06-09,132.970001
2020-06-10,134.130005
2020-06-11,127.839996
2020-06-12,129
2020-06-15,130.479996
2020-06-16,131.669998
2020-06-17,131.759995
2020-06-18,132.779999
2020-06-19,131.279999
2020-06-22,131.050003
2020-06-23,131.360001
2020-06-24,129.559998
2020-06-25,131.410004
2020-06-26,128.929993
2020-06-29,131.080002
2020-06-30,132.259995
2020-07-01,132.360001
2020-07-02,132.850006
2020-07-06,133.300003
2020-07-07,133.570007
2020-07-08,134.220001
2020-07-09,132.710007
2020-07-10,134.460007
2020-07-13,134.910004
2020-07-14,135.520004
2020-07-15,133.690002
2020-07-16,133.880005
2020-07-17,134.660004
2020-07-20,133.110001
2020-07-21,134.429993
2020-07-22,136.009995
2020-07-23,137.080002
2020-07-24,136.059998
2020-07-27,137.669998
2020-07-28,137.380005
2020-07-29,137.929993
2020-07-30,137.690002
2020-07-31,137.660004
2020-08-03,136.699997
2020-08-04,137.470001
2020-08-05,136.25
2020-08-06,135.860001
2020-08-07,136.740005
2020-08-10,135.979996
2020-08-11,135.119995
2020-08-12,137.800003
2020-08-13,138.100006
2020-08-14,137.559998
2020-08-17,137.919998
2020-08-18,138.110001
2020-08-19,136.449997
2020-08-20,136.720001
2020-08-21,136.460007
2020-08-24,137.639999
2020-08-25,137.300003
2020-08-26,138.470001
2020-08-27,138.399994
2020-08-28,139.940002
2020-08-31,140.059998
2020-09-01,139.190002
2020-09-02,143.289993
2020-09-03,139.369995
2020-09-04,138.759995
2020-09-08,135.550003
2020-09-09,137.110001
2020-09-10,134.759995
2020-09-11,135.809998
2020-09-14,136.669998
2020-09-15,135.619995
2020-09-16,134.979996
2020-09-17,133.199997
2020-09-18,131.470001
2020-09-21,131.240005
2020-09-22,132.149994
2020-09-23,131
2020-09-24,131.580002
2020-09-25,133.550003
2020-09-28,137.970001
2020-09-29,137.160004
2020-09-30,138.600006
2020-10-01,140.800003
2020-10-02,138.059998
2020-10-05,137.929993
2020-10-06,135.699997
2020-10-07,137.009995
2020-10-08,137.850006
2020-10-09,138.440002
2020-10-12,142.130005
2020-10-13,143.539993
2020-10-14,142.520004
2020-10-15,141.429993
2020-10-16,141.729996
2020-10-19,139.679993
2020-10-20,139.710007
2020-10-21,139.600006
2020-10-22,139.610001
2020-10-23,139.559998
2020-10-26,138.059998
2020-10-27,139.119995
2020-10-28,134.169998
2020-10-29,133.990005
2020-10-30,133.289993
2020-11-02,135.149994
2020-11-03,137.039993
2020-11-04,137.860001
2020-11-05,138.050003
2020-11-06,138.380005
2020-11-09,138.449997
2020-11-10,141.720001
2020-11-11,143.899994
2020-11-12,143.839996
2020-11-13,144.710007
2020-11-16,145.759995
2020-11-17,145.240005
2020-11-18,143.380005
2020-11-19,143.320007
2020-11-20,143.419998
2020-11-23,143.020004
2020-11-24,144.029999
2020-11-25,144.160004
2020-11-27,144.600006
2020-11-30,144.229996
2020-12-01,146.070007
2020-12-02,144.619995
2020-12-03,144.449997
2020-12-04,145.850006
2020-12-07,145.369995
2020-12-08,145.520004
2020-12-09,145.690002
2020-12-10,144.669998
2020-12-11,144.970001
2020-12-14,144.229996
2020-12-15,144.770004
2020-12-16,144.889999
2020-12-17,145.710007
2020-12-18,146.929993
2020-12-21,145.399994
2020-12-22,144.020004
2020-12-23,144.410004
2020-12-24,145.059998
2020-12-28,146.910004
2020-12-29,147.419998
2020-12-30,147.309998
2020-12-31,148.300003
2021-01-04,144.270004
2021-01-05,144.699997
2021-01-06,142.929993
2021-01-07,142.470001
2021-01-08,144.179993
2021-01-11,142.089996
2021-01-12,141.429993
2021-01-13,142.589996
2021-01-14,141.759995
2021-01-15,141.389999
2021-01-19,142.059998
2021-01-20,141.330002
2021-01-21,139.610001
2021-01-22,138.589996
2021-01-25,140.179993
2021-01-26,141.800003
2021-01-27,138.039993
2021-01-28,139.190002
2021-01-29,136.570007
2021-02-01,136.979996
2021-02-02,138.380005
2021-02-03,138.020004
2021-02-04,139.679993
2021-02-05,140.960007
2021-02-08,140.399994
2021-02-09,139.600006
2021-02-10,137.699997
2021-02-11,134.970001
2021-02-12,133.869995
2021-02-16,134.380005
2021-02-17,134.460007
2021-02-18,135.369995
2021-02-19,132.509995
2021-02-22,131.990005
2021-02-23,132.779999
2021-02-24,132.089996
2021-02-25,130
2021-02-26,129.190002
2021-03-01,130.619995
2021-03-02,131.070007
2021-03-03,129.139999
2021-03-04,128.830002
2021-03-05,133.029999
2021-03-08,132.130005
2021-03-09,132.25
2021-03-10,133.580002
2021-03-11,133.220001
2021-03-12,133.039993
2021-03-15,133.029999
2021-03-16,134.009995
2021-03-17,133.619995
2021-03-18,132.529999
2021-03-19,134.5
2021-03-22,137.800003
2021-03-23,139.460007
2021-03-24,138.809998
2021-03-25,139.630005
2021-03-26,142.699997
2021-03-29,144.809998
2021-03-30,142.539993
2021-03-31,141.449997
2021-04-01,141.279999
2021-04-05,143.160004
2021-04-06,143.669998
2021-04-07,143.410004
2021-04-08,142.539993
2021-04-09,142.570007
2021-04-12,143.020004
2021-04-13,143.050003
2021-04-14,142.110001
2021-04-15,142.309998
2021-04-16,144.160004
2021-04-19,144.75
2021-04-20,145.710007
2021-04-21,146.979996
2021-04-22,146.070007
2021-04-23,145.830002
2021-04-26,143.360001
2021-04-27,142.889999
2021-04-28,141.830002
2021-04-29,143.940002
2021-04-30,144.160004
2021-05-03,145.789993
2021-05-04,143.960007
2021-05-05,143.889999
2021-05-06,145.559998
2021-05-07,145.559998
2021-05-10,146.720001
2021-05-11,145.649994
2021-05-12,144.229996
2021-05-13,146.369995
2021-05-14,146.589996
2021-05-17,146.169998
2021-05-18,145.509995
2021-05-19,145.429993
2021-05-20,147.229996
